ticker,nome,setor,prob_alta,sinal,acuracia,auc,pr_auc,f1,threshold,modelo_usado,base_pr,auc_lr,pr_auc_lr,auc_lgb,pr_auc_lgb,n_pregoes,score
RANI3.SA,Irani Papel e Embalagem S.A.,Papel e Celulose,0.6408,COMPRAR,0.5000,0.5278,0.5389,0.6637,0.5200,LogReg,0.5131,0.5278,0.5389,0.4971,0.5166,2039,0.5758
DASA3.SA,Diagnósticos da América S.A.,Saúde e Farmácia,0.6168,COMPRAR,0.4510,0.5918,0.4767,0.5385,0.5200,LogReg,0.3856,0.5918,0.4767,0.5650,0.4390,2039,0.5730
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Tecnologia,0.4689,AGUARDAR,0.5916,0.6350,0.6420,0.6100,0.5200,LightGBM,0.4921,0.4913,0.5317,0.6350,0.6420,1273,0.5703
VIVA3.SA,Vivara Participações S.A.,Varejo e Consumo,0.5145,NEUTRO,0.5167,0.5826,0.6318,0.3830,0.5200,LightGBM,0.5458,0.5446,0.6140,0.5826,0.6318,1598,0.5677
BPAC11.SA,Banco BTG Pactual S.A.,Financeiro e Bancos,0.4845,AGUARDAR,0.4608,0.5875,0.6528,0.0884,0.5200,LightGBM,0.5654,0.5061,0.5644,0.5875,0.6528,2039,0.5626
MRVE3.SA,MRV Engenharia e Participações S.A.,Construção e Imóveis,0.6084,COMPRAR,0.5033,0.5265,0.5391,0.4286,0.5200,LightGBM,0.5131,0.4872,0.5054,0.5265,0.5391,2039,0.5624
BRSR6.SA,Banco do Estado do Rio Grande do Sul S.A.,Financeiro e Bancos,0.5624,COMPRAR,0.4935,0.5357,0.5807,0.4151,0.5200,LightGBM,0.5686,0.5060,0.5712,0.5357,0.5807,2039,0.5576
PNVL3.SA,Dimed S.A. Distribuidora de Medicamentos,Saúde e Farmácia,0.5930,COMPRAR,0.4673,0.5240,0.5395,0.3347,0.5200,LogReg,0.5196,0.5240,0.5395,0.4893,0.5088,2039,0.5555
CSMG3.SA,Companhia de Saneamento de Minas Gerais,Saneamento,0.5114,NEUTRO,0.3922,0.5312,0.6467,0.0000,0.5200,LightGBM,0.6078,0.5125,0.6136,0.5312,0.6467,2039,0.5521
AALR3.SA,Alliança Saúde e Participações S.A.,Saúde e Farmácia,0.5941,COMPRAR,0.5098,0.5285,0.5161,0.5763,0.5200,LogReg,0.4967,0.5285,0.5161,0.4622,0.4681,2039,0.5517
MDIA3.SA,M. Dias Branco S.A. Indústria e Comércio de Alimentos,Alimentos e Bebidas,0.5667,COMPRAR,0.5131,0.5222,0.5650,0.6189,0.5200,LogReg,0.5359,0.5222,0.5650,0.4630,0.5090,2039,0.5507
VBBR3.SA,Vibra Energia S.A.,Petróleo e Gás,0.5198,NEUTRO,0.4649,0.5336,0.6180,0.1209,0.5200,LightGBM,0.5552,0.5271,0.5625,0.5336,0.6180,1990,0.5492
PETR3.SA,Petróleo Brasileiro S.A. - Petrobras,Petróleo e Gás,0.5448,COMPRAR,0.5359,0.5255,0.5677,0.5943,0.5200,LogReg,0.5359,0.5255,0.5677,0.4990,0.5243,2039,0.5437
BBSE3.SA,BB Seguridade Participações S.A.,Financeiro e Bancos,0.5178,NEUTRO,0.4739,0.5305,0.6026,0.3686,0.5200,LightGBM,0.5556,0.4743,0.5501,0.5305,0.6026,2039,0.5434
